caseid_new,same_sex,same_race,parental_approval,same_pol,internet,same_religion,age_gap
4557505,1,1,1,0,0,0,1
2169386,0,0,1,1,0,0,1
2479313,0,1,0,1,0,0,1
860495,0,1,0,1,0,1,1
4103576,1,0,0,1,0,0,1
3149823,0,1,MISSING,0,0,0,1
3937436,0,0,1,0,0,0,1
680225,0,1,1,1,0,0,1
1335363,0,0,0,0,1,0,1
4256503,0,1,1,0,0,0,1
3072336,1,1,0,1,0,1,1
3200215,1,1,0,0,1,0,1
1990566,1,1,MISSING,1,0,1,1
4066436,0,1,0,1,0,1,1
1850456,1,1,MISSING,1,0,1,1
932566,1,1,1,1,1,0,1
3837235,0,1,1,0,1,0,1
224425,0,1,1,0,0,1,1
1615431,0,1,0,1,0,0,1
1279296,0,1,1,1,0,1,1
2724356,1,1,0,1,0,0,1
3733373,0,1,0,1,1,0,1
177386,1,1,1,0,0,1,1
3281506,1,1,1,1,0,1,1
3025406,1,0,0,1,0,0,1
4511465,0,1,1,1,0,0,1
2547395,0,0,1,0,0,0,1
646613,0,0,MISSING,1,0,0,1
3997265,1,1,1,1,1,0,1
3100236,0,0,1,1,0,1,1
1677766,1,1,MISSING,1,0,1,1
640596,1,1,MISSING,1,1,1,1
2428344,0,1,0,0,0,1,1
103545,0,1,MISSING,0,1,0,1
3446513,1,1,MISSING,0,0,1,1
2758456,1,1,1,1,0,0,1
4418316,0,0,1,1,0,0,1
32656,1,1,MISSING,1,0,1,1
3946295,0,1,1,0,1,0,1
2311205,0,1,1,1,0,0,1
2100743,0,1,MISSING,0,0,0,1
253483,1,0,1,1,0,0,1
3668296,0,1,1,0,0,1,1
3558553,1,1,1,1,0,0,1
2398492,1,1,0,1,0,1,1
2017286,0,1,1,0,1,1,1
1570286,0,1,1,1,1,0,1
110316,1,0,0,0,0,0,1
3027506,0,1,0,0,0,1,1
965575,1,1,0,0,0,0,1
3543225,0,1,1,1,0,0,1
3532465,1,1,0,1,0,0,1
4226275,0,0,0,1,0,1,1
1676566,1,1,1,1,0,0,1
143746,1,1,MISSING,0,0,1,1
3593355,1,1,0,0,0,0,1
