caseid_new,s2,partner_deceased,respondent_yrsed,partner_yrsed,q23,hhinc,same_sex_couple,s1a,respondent_race,partner_race,age_difference,q21b,ppage,q9,parental_approval,w3_q5,w3_q1,relationship_quality,w2w3_combo_breakup,w3_broke_up,w3_days_elapsed,w3_q10,q32_internet,pppartyid3,q12,papreligion,q7b,ppmarit,how_long_ago_first_romantic,w4_attractive,w4_attractive_partner
3149823,0,0,12,13,2,17250,0,MISSING,0,0,13,81,82,69,MISSING,1,MISSING,4,0,0,793,MISSING,0,1,0,0,2,2,1,1,0
2762355,0,0,12,12,1,80000,0,MISSING,0,0,3,22,35,38,1,MISSING,MISSING,4,MISSING,MISSING,,MISSING,0,1,1,1,1,4,13,MISSING,MISSING
680225,0,0,13,13,0,112250,0,MISSING,0,0,3,22,22,19,1,1,MISSING,4,0,0,814,MISSING,0,1,1,10,0,4,0,1,0
4256503,0,0,16,16,2,55000,0,MISSING,0,0,1,46,50,51,1,0,MISSING,4,1,1,739,2,0,0,2,2,12,2,4,MISSING,MISSING
3769215,0,0,12,12,0,27250,0,MISSING,0,0,0,19,21,21,0,1,MISSING,3,0,0,844,MISSING,0,1,1,0,0,4,2,MISSING,MISSING
2793416,0,0,17,17,0,32250,1,MISSING,0,0,8,39,41,49,1,1,MISSING,4,0,0,779,MISSING,0,1,2,12,4,5,2,1,2
1990566,0,0,17,16,0,137250,1,MISSING,0,0,3,40,56,53,MISSING,MISSING,MISSING,4,MISSING,MISSING,,MISSING,0,1,1,12,12,5,16,MISSING,MISSING
224425,0,0,12,12,0,22250,0,MISSING,0,0,3,20,42,39,1,1,MISSING,3,0,0,774,MISSING,0,0,4,1,1,4,22,1,1
4523603,0,0,13,12,2,6250,0,MISSING,0,0,7,51,60,53,MISSING,1,MISSING,3,0,0,743,MISSING,0,1,4,12,12,2,9,MISSING,MISSING
3281506,0,0,16,20,2,200000,1,MISSING,0,0,11,30,50,61,1,MISSING,MISSING,4,0,MISSING,,MISSING,0,1,1,4,4,5,20,2,0
4607235,0,0,13,13,0,8750,0,MISSING,0,0,4,22,23,27,0,MISSING,MISSING,4,MISSING,MISSING,,MISSING,0,1,1,1,12,4,1,MISSING,MISSING
103545,0,0,16,13,0,162250,0,MISSING,0,0,2,50,54,52,MISSING,1,MISSING,4,0,0,775,MISSING,1,1,0,2,1,4,4,2,1
32656,0,0,17,17,2,137250,1,MISSING,0,0,0,38,65,65,MISSING,1,MISSING,4,0,0,853,MISSING,0,1,1,12,12,5,27,MISSING,MISSING
110316,0,0,17,17,0,67250,1,MISSING,0,5,5,27,31,26,0,1,MISSING,3,0,0,774,MISSING,0,1,2,1,2,5,4,1,1
481445,0,0,20,14,2,37250,1,MISSING,2,5,10,32,44,34,0,MISSING,MISSING,4,1,MISSING,,MISSING,1,1,2,12,12,4,12,MISSING,MISSING
3072336,0,0,17,17,0,92250,1,MISSING,1,1,1,29,33,32,0,1,MISSING,3,0,0,785,MISSING,0,1,1,12,12,5,4,0,1
2733643,0,0,13,20,2,200000,1,MISSING,0,0,16,42,64,48,1,1,MISSING,4,0,0,846,MISSING,0,0,0,2,1,2,22,MISSING,MISSING
896413,0,0,14,12,0,92250,0,MISSING,5,0,5,20,41,36,1,1,MISSING,3,0,0,800,MISSING,0,0,4,1,1,2,21,2,MISSING
2350195,0,0,13,13,2,80000,0,MISSING,0,0,3,19,19,22,1,MISSING,MISSING,4,0,MISSING,,MISSING,0,0,4,10,2,4,0,MISSING,MISSING
4092313,0,0,16,16,0,112250,0,MISSING,0,0,6,31,31,25,0,MISSING,MISSING,3,1,MISSING,,MISSING,0,1,1,4,12,2,0,MISSING,MISSING
4027356,0,0,10,10,2,11250,0,MISSING,0,0,3,16,35,38,1,MISSING,MISSING,4,0,MISSING,,MISSING,0,1,4,0,12,5,19,MISSING,MISSING
2561493,0,0,12,12,1,32250,0,MISSING,0,0,26,48,49,75,1,MISSING,MISSING,4,MISSING,MISSING,,MISSING,0,1,1,0,0,2,1,MISSING,MISSING
1836683,0,0,14,7.5,2,6250,0,MISSING,1,1,2,18,68,70,MISSING,MISSING,MISSING,3,0,MISSING,,MISSING,0,1,1,1,0,2,50,MISSING,MISSING
3990426,0,0,16,17,0,80000,1,MISSING,0,0,21,28,42,63,1,0,MISSING,4,1,1,796,0,0,1,0,12,0,5,14,MISSING,MISSING
4066436,0,0,13,14,0,92250,0,MISSING,5,5,11,39,43,32,0,0,MISSING,3,1,1,750,1,0,0,0,2,2,5,4,MISSING,MISSING
309276,0,0,16,13,1,55000,0,MISSING,0,0,8,26,27,35,1,0,MISSING,3,1,1,774,2,0,0,2,1,1,5,1,MISSING,MISSING
1850456,0,0,13,12,2,55000,1,MISSING,0,0,7,41,45,52,MISSING,1,MISSING,4,0,0,797,MISSING,0,1,1,12,12,5,4,MISSING,MISSING
4143305,0,0,12,13,1,37250,1,MISSING,0,0,1,28,30,31,0,1,MISSING,3,0,0,757,MISSING,1,1,2,12,12,4,2,1,MISSING
1969416,0,0,13,13,2,112250,1,MISSING,5,0,6,29,41,35,1,0,MISSING,4,1,1,901,1,0,0,0,2,1,5,12,MISSING,MISSING
1327693,0,0,13,12,0,45000,1,MISSING,0,1,25,54,69,44,MISSING,1,MISSING,4,0,0,773,MISSING,0,1,1,12,10,2,15,2,0
4403543,0,0,10,12,0,22250,0,MISSING,0,0,8,48,54,46,1,1,MISSING,3,0,0,755,MISSING,0,1,1,0,0,2,6,MISSING,MISSING
2514683,0,0,12,16,0,45000,0,MISSING,0,0,14,49,68,82,1,MISSING,MISSING,4,0,MISSING,,MISSING,0,0,4,1,1,2,19,MISSING,MISSING
3805265,0,0,16,16,2,200000,0,MISSING,0,0,2,24,26,28,1,1,MISSING,3,0,0,839,MISSING,0,0,0,1,1,4,2,1,1
2130225,0,0,13,13,0,37250,0,MISSING,0,0,0,21,22,22,1,1,MISSING,4,0,0,774,MISSING,0,0,0,2,2,4,1,1,1
742246,0,0,16,16,2,67250,0,MISSING,0,0,0,16,24,24,1,MISSING,1,4,0,0,843,MISSING,0,0,0,1,2,5,8,MISSING,MISSING
2814495,0,0,16,13,2,27250,1,MISSING,0,0,4,47,49,45,0,1,MISSING,3,0,0,773,MISSING,0,1,2,12,2,4,2,1,1
2026446,0,0,12,12,2,80000,1,MISSING,0,0,7,31,44,37,1,1,MISSING,4,0,0,780,MISSING,0,1,1,1,1,5,13,1,1
3526335,0,0,12,12,0,17250,0,MISSING,0,0,5,32,33,28,1,MISSING,MISSING,4,1,MISSING,,MISSING,0,1,1,12,12,4,1,MISSING,MISSING
875485,0,0,13,14,2,6250,0,MISSING,0,0,4,45,48,52,1,MISSING,MISSING,2,1,MISSING,,MISSING,0,1,4,10,12,4,3,MISSING,MISSING
780753,0,0,9,13,2,37250,1,MISSING,0,0,4,49,75,71,MISSING,1,MISSING,4,0,0,774,MISSING,,1,1,1,1,2,26,2,1
1035596,0,0,17,16,2,162250,1,MISSING,0,0,8,40,59,51,MISSING,1,MISSING,4,0,0,774,MISSING,0,1,1,2,4,5,19,1,1
1787296,0,0,17,16,1,67250,0,MISSING,0,5,0,25,29,29,1,MISSING,1,4,0,0,773,MISSING,0,1,1,12,12,5,4,1,1
4000465,0,0,16,13,2,55000,1,MISSING,5,5,0,46,46,46,0,1,MISSING,3,0,0,756,MISSING,1,1,1,2,2,4,0,MISSING,MISSING
2227296,0,0,16,14,2,45000,1,MISSING,0,0,3,28,29,32,1,MISSING,MISSING,3,1,MISSING,,MISSING,0,1,2,12,10,5,1,MISSING,MISSING
1527295,0,0,17,17,0,45000,0,MISSING,0,0,2,28,29,31,1,MISSING,MISSING,4,0,MISSING,,MISSING,1,1,1,12,12,4,1,MISSING,MISSING
1279296,0,0,16,16,0,32250,0,MISSING,0,0,4,26,29,25,1,MISSING,MISSING,2,1,MISSING,,MISSING,0,1,1,12,12,5,3,MISSING,MISSING
1079255,0,0,17,16,0,200000,0,MISSING,0,0,1,22,25,24,1,1,MISSING,4,0,0,776,MISSING,0,1,2,2,12,4,3,0,0
3862286,0,0,14,13,0,55000,0,MISSING,0,1,4,14,28,32,0,1,MISSING,3,0,0,763,MISSING,0,1,1,10,10,5,14,1,0
4497666,0,0,16,12,0,45000,0,MISSING,1,1,15,55,66,51,MISSING,1,MISSING,3,0,0,739,MISSING,0,1,1,0,0,5,11,1,1
1468606,0,0,14,13,2,55000,0,MISSING,0,0,10,24,60,70,0,1,MISSING,3,0,0,776,MISSING,0,1,1,1,2,5,36,1,2
4509413,0,0,14,12,2,27250,0,MISSING,0,0,7,28,41,48,1,0,MISSING,4,1,1,745,1,0,1,1,10,2,2,13,MISSING,MISSING
3253415,0,0,12,12,0,67250,0,MISSING,0,5,9,36,41,50,0,MISSING,MISSING,4,1,MISSING,,MISSING,0,0,0,2,2,4,5,MISSING,MISSING
1669566,0,0,17,13,0,137250,1,MISSING,0,0,0,32,56,56,1,1,MISSING,4,0,0,805,MISSING,0,1,1,12,12,5,24,1,1
1064496,0,0,14,12,0,17250,0,MISSING,0,0,0,48,49,49,0,MISSING,MISSING,3,1,MISSING,,MISSING,1,1,1,10,10,5,1,MISSING,MISSING
291286,0,0,16,20,0,200000,0,MISSING,0,0,3,23,28,25,1,MISSING,MISSING,4,0,MISSING,,MISSING,0,0,1,4,4,5,5,0,0
557215,0,0,12,13,2,162250,0,MISSING,0,5,5,20,21,26,0,MISSING,MISSING,3,1,MISSING,,MISSING,0,1,1,2,12,4,1,MISSING,MISSING
3660426,0,0,16,13,0,137250,1,MISSING,0,0,18,34,42,60,1,1,MISSING,3,0,0,769,MISSING,1,1,4,1,1,5,8,MISSING,MISSING
2631603,0,0,16,17,2,37250,0,MISSING,0,0,10,57,60,70,0,1,MISSING,3,0,0,778,MISSING,1,1,0,10,1,2,3,1,1
805546,0,0,14,12,0,27250,0,MISSING,0,0,12,52,54,42,MISSING,1,MISSING,3,0,0,775,MISSING,0,1,1,10,10,5,2,MISSING,MISSING
794276,0,0,14,13,2,67250,0,MISSING,0,0,1,23,27,26,1,1,MISSING,4,0,0,774,MISSING,0,1,0,2,1,5,4,1,MISSING
