caseid_new,s2,partner_deceased,respondent_yrsed,partner_yrsed,q23,hhinc,same_sex_couple,s1a,respondent_race,partner_race,age_difference,q21b,ppage,q9,parental_approval,w3_q5,w3_q1,relationship_quality,w2w3_combo_breakup,w3_broke_up,w3_days_elapsed,w3_q10,w3_q10,q32_internet,pppartyid3,q12,papreligion,q7b,ppmarit,w4_attractive,w4_attractive_partner
2095281,MISSING,0,13,13,2,55000,0,MISSING,0,0,2,20,28,30,0,MISSING,MISSING,2,0,MISSING,,MISSING,MISSING,0,1,1,10,1,0,MISSING,MISSING
2213573,OTHER,MISSING,16,,MISSING,80000,MISSING,MISSING,0,MISSING,,,57,,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,,MISSING,MISSING,,0,MISSING,12,MISSING,2,MISSING,MISSING
611351,MISSING,0,16,13,1,67250,0,MISSING,0,0,5,29,35,30,1,MISSING,MISSING,3,0,MISSING,,MISSING,MISSING,1,0,0,10,1,0,1,0
3334205,OTHER,MISSING,12,,MISSING,2500,MISSING,MISSING,0,MISSING,,,20,,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,,MISSING,MISSING,,1,MISSING,12,MISSING,4,MISSING,MISSING
2978391,MISSING,0,16,12,0,112250,0,MISSING,0,0,7,23,39,46,1,MISSING,MISSING,4,0,MISSING,,MISSING,MISSING,0,0,0,0,10,0,MISSING,MISSING
3149823,0,0,12,13,2,17250,0,MISSING,0,0,13,81,82,69,MISSING,0,MISSING,4,0,0,793,MISSING,MISSING,0,1,0,0,2,2,1,0
2762355,0,0,12,12,1,80000,0,MISSING,0,0,3,22,35,38,1,MISSING,MISSING,4,MISSING,MISSING,,MISSING,MISSING,0,1,1,1,1,4,MISSING,MISSING
680225,0,0,13,13,0,112250,0,MISSING,0,0,3,22,22,19,1,0,MISSING,4,0,0,814,MISSING,MISSING,0,1,1,10,0,4,1,0
4519351,MISSING,0,16,16,2,92250,0,MISSING,0,0,2,24,35,33,1,MISSING,0,4,0,0,759,MISSING,MISSING,0,0,0,3,3,0,1,0
4256503,0,0,16,16,2,55000,0,MISSING,0,0,1,46,50,51,1,1,MISSING,4,1,1,739,2,2,0,0,2,2,12,2,MISSING,MISSING
3769215,0,0,12,12,0,27250,0,MISSING,0,0,0,19,21,21,0,0,MISSING,3,0,0,844,MISSING,MISSING,0,1,1,0,0,4,MISSING,MISSING
4439435,OTHER,MISSING,12,,MISSING,11250,MISSING,MISSING,0,MISSING,,,43,,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,,MISSING,MISSING,,1,MISSING,0,MISSING,4,MISSING,MISSING
1513511,MISSING,0,16,14,0,67250,0,MISSING,0,0,3,21,51,48,0,MISSING,0,1,0,0,774,MISSING,MISSING,0,0,0,0,2,0,MISSING,MISSING
2793416,0,0,17,17,0,32250,1,MISSING,0,0,8,39,41,49,1,0,MISSING,4,0,0,779,MISSING,MISSING,0,1,2,12,4,5,1,2
1990566,0,0,17,16,0,137250,1,MISSING,0,0,3,40,56,53,MISSING,MISSING,MISSING,4,MISSING,MISSING,,MISSING,MISSING,0,1,1,12,12,5,MISSING,MISSING
3039731,MISSING,0,7.5,12,0,22250,0,MISSING,0,0,6,55,73,67,MISSING,MISSING,0,4,0,0,843,MISSING,MISSING,0,0,0,8,8,0,MISSING,MISSING
1220631,MISSING,0,16,16,2,55000,0,MISSING,3,3,7,34,63,70,MISSING,MISSING,MISSING,4,0,MISSING,,MISSING,MISSING,0,0,2,7,7,0,MISSING,MISSING
3936511,MISSING,0,17,12,1,92250,1,MISSING,0,0,2,40,51,53,1,MISSING,MISSING,4,MISSING,MISSING,,MISSING,MISSING,0,1,1,12,12,0,MISSING,MISSING
1284701,MISSING,0,12,12,2,27250,0,MISSING,0,0,0,17,70,70,MISSING,MISSING,0,4,0,0,783,MISSING,MISSING,0,0,0,10,11,0,MISSING,MISSING
1830561,MISSING,0,16,12,1,11250,0,MISSING,0,2,4,45,56,60,MISSING,MISSING,0,4,0,0,853,MISSING,MISSING,0,0,1,1,2,0,MISSING,MISSING
224425,0,0,12,12,0,22250,0,MISSING,0,0,3,20,42,39,1,0,MISSING,3,0,0,774,MISSING,MISSING,0,0,4,1,1,4,1,1
2305481,MISSING,0,14,16,2,112250,0,MISSING,0,0,11,37,48,37,1,MISSING,MISSING,2,MISSING,MISSING,,MISSING,MISSING,0,0,0,10,1,0,MISSING,MISSING
1424245,OTHER,MISSING,13,,MISSING,37250,MISSING,MISSING,0,MISSING,,,24,,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,,MISSING,MISSING,,0,MISSING,12,MISSING,4,MISSING,MISSING
4523603,0,0,13,12,2,6250,0,MISSING,0,0,7,51,60,53,MISSING,0,MISSING,3,0,0,743,MISSING,MISSING,0,1,4,12,12,2,MISSING,MISSING
3281506,0,0,16,20,2,200000,1,MISSING,0,0,11,30,50,61,1,MISSING,MISSING,4,0,MISSING,,MISSING,MISSING,0,1,1,4,4,5,2,0
1691641,MISSING,0,12,14,0,45000,0,MISSING,0,0,2,44,64,62,1,MISSING,0,4,0,0,775,MISSING,MISSING,0,1,1,0,4,0,2,1
